date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2020-02-23,87.00,?,?,?,?,?,?,MSY,"<Free ShippingAvailable: 1. Online order and delivery. – Free Shipping And2. Victoria Dandenong South Store ONLYProduct with limited quantity. While stocks last."
2019-11-27,71.00,"2.5""",SATA,SATA,1000,0.071,Seagate,MSY,"> Seagate 2.5"" FireCuda SSHD 1TB ST1000LX015 SATA 6Gb/s 7mm Hybrid (8GB SSD+HDD) Hard Disk DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-11-24,73.00,"2.5""",SATA,SATA,1000,0.073,Seagate,MSY,"> Seagate 2.5"" FireCuda SSHD 1TB ST1000LX015 SATA 6Gb/s 7mm Hybrid (8GB SSD+HDD) Hard Disk DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-11-17,75.00,"2.5""",SATA,SATA,1000,0.075,Seagate,MSY,"> Seagate 2.5"" FireCuda SSHD 1TB ST1000LX015 SATA 6Gb/s 7mm Hybrid (8GB SSD+HDD) Hard Disk DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-11-07,77.00,"2.5""",SATA,SATA,1000,0.077,Seagate,MSY,"> Seagate 2.5"" FireCuda SSHD 1TB ST1000LX015 SATA 6Gb/s 7mm Hybrid (8GB SSD+HDD) Hard Disk DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-10-30,79.00,"2.5""",SATA,SATA,1000,0.079,Seagate,MSY,"> Seagate 2.5"" FireCuda SSHD 1TB ST1000LX015 SATA 6Gb/s 7mm Hybrid (8GB SSD+HDD) Hard Disk DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-10-30,109.00,"3.5""",SATA,"RPM:  5900",2000,0.054,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 2TB ST2000VN004 SATA3 5900rpm 64MB cache Hard Disk Drive"
2020-02-16,115.00,"3.5""",SATA,"RPM:  5900",2000,0.058,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 2TB ST2000VN004 SATA3 5900rpm 64MB cache Hard Disk Drive"
2020-03-15,117.00,"3.5""",SATA,"RPM:  5900",2000,0.059,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 2TB ST2000VN004 SATA3 5900rpm 64MB cache Hard Disk Drive Limit 2 per customer. "
2020-03-22,119.00,"3.5""",SATA,"RPM:  5900",2000,0.059,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 2TB ST2000VN004 SATA3 5900rpm 64MB cache Hard Disk Drive Limit 2 per customer. "
2020-03-29,139.00,"3.5""",SATA,"RPM:  5900",2000,0.070,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 2TB ST2000VN004 SATA3 5900rpm 64MB cache Hard Disk Drive Limit 2 per customer. "
2019-11-10,165.00,"3.5""",SATA,"RPM:  5900",4000,0.041,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive"
2020-01-26,167.00,"3.5""",SATA,"RPM:  5900",4000,0.042,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive"
2019-10-30,168.00,"3.5""",SATA,"RPM:  5900",4000,0.042,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive"
2020-02-16,178.00,"3.5""",SATA,"RPM:  5900",4000,0.044,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive"
2020-03-15,179.00,"3.5""",SATA,"RPM:  5900",4000,0.045,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive Limit 2 per customer. "
2020-03-29,185.00,"3.5""",SATA,"RPM:  5900",4000,0.046,Seagate,MSY,"> Seagate IronWolf NAS 3.5"" 4TB ST4000VN008 SATA3 5900rpm 64MB cache Hard Disk Drive Limit 2 per customer. "
2019-12-11,49.00,M.2,?,?,240,0.204,Kingston,MSY,"@+ Kingston A400 (SA400M8/2400G) 240GB M.2 SSD Solid State Drive"
2019-12-29,1239.00,?,SATA,SATA,4000,0.310,Samsung,MSY,"@+ Samsung 860 PRO (MZ-76P4T0BW) 4TB SATA III SSD Solid State DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-12-11,1249.00,?,SATA,SATA,4000,0.312,Samsung,MSY,"@+ Samsung 860 PRO (MZ-76P4T0BW) 4TB SATA III SSD Solid State DriveCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-12-11,9999.00,"3.5""",SATA,"RPM:  7200",16000,0.625,Seagate,MSY,"@+ Seagate IronWolf NAS 3.5"" 16TB (ST16000VN001) SATA3 7200rpm 256MB cache Hard Disk Drive"
2019-10-30,48.00,"3.5""",SATA?,"RPM:  7200",1000,0.048,Toshiba,MSY,"@+ TOSHIBA (HDWD110UZSVA) P300 Desktop INT 3.5"" 1TB 7200RPM HDDCLEARANCE ITEM. Product may be refurbished or ex-demo or missing package/accessories. Please check before purchase."
2019-12-11,309.00,M.2,NVME,?,1000,0.309,WD,MSY,"@+ WD Black SN750 (WDS100T3X0) 1TB M.2 NVMe SSD Solid State Drive"
2020-01-05,328.00,M.2,NVME,?,1000,0.328,WD,MSY,"@+ WD Black SN750 (WDS100T3X0) 1TB M.2 NVMe SSD Solid State Drive"
2020-02-23,329.00,M.2,NVME,?,1000,0.329,WD,MSY,"@+ WD Black SN750 (WDS100T3X0) 1TB M.2 NVMe SSD Solid State Drive"
2020-03-08,105.00,M.2,NVME,?,250,0.420,WD,MSY,"@+ WD Black SN750 (WDS250G3X0C) 250GB M.2 NVMe SSD Solid State Drive"
2020-01-05,92.00,M.2,NVME,?,250,0.368,WD,MSY,"@+ WD Black SN750 (WDS250G3X0C) 250GB M.2 NVMe SSD Solid State Drive"
2019-12-11,98.00,M.2,NVME,?,250,0.392,WD,MSY,"@+ WD Black SN750 (WDS250G3X0C) 250GB M.2 NVMe SSD Solid State Drive"
2020-02-16,99.00,M.2,NVME,?,250,0.396,WD,MSY,"@+ WD Black SN750 (WDS250G3X0C) 250GB M.2 NVMe SSD Solid State Drive"
2019-11-07,35.00,?,USB,"USB 3.1",128,0.273,Adata,CPL,"ADATA 128GB UV128 USB3.1 Flash Drive AUV128-128G-RBE"
2019-11-07,8.00,?,USB,"USB 3.1",16,0.500,Adata,CPL,"ADATA 16GB UV128 USB3.1 Flash Drive AUV128-16G-RBE"
2019-11-07,11.00,?,USB,"USB 3.1",16,0.688,Adata,CPL,"ADATA 16GB UV310 USB3.1 Flash Drive AUV310-16G-RGD"
2019-11-24,73.00,?,USB,"USB 3.0",1000,0.073,Adata,CPL,"ADATA 1TB HV20S USB3.0 Portable External Hard Drive Black AHV620S-1TU3-CBK"
2019-11-24,269.00,?,USB,"USB 3.1",1000,0.269,Adata,CPL,"ADATA 1TB SD700 ASD700-1TU3-CBK Rugged External SSD USB3.1 IP68 Black "
2019-11-24,99.00,?,USB,"USB 3.1",256,0.387,Adata,CPL,"ADATA 256GB SD700 ASD700-256GU3-CBK Rugged External SSD USB3.1 IP68 Black"
2019-11-24,85.00,?,USB,"USB 3.1",256,0.332,Adata,CPL,"ADATA 256GB SD700 ASD700-256GU3-CYL Rugged External SSD USB3.1 IP68 Black&Yellow"
2019-11-24,99.00,?,USB,"USB 3.0",2000,0.050,Adata,CPL,"ADATA 2TB HV20S USB3.0 Portable External Hard Drive Black AHV620S-2TU3-CBK"
2019-11-24,11.00,?,USB,"USB 3.1",32,0.344,Adata,CPL,"ADATA 32GB UV128 USB3.1 Flash Drive AUV128-32G-RBE"
2019-11-24,17.00,?,USB,"USB 3.1",32,0.531,Adata,CPL,"ADATA 32GB UV310 USB3.1 Flash Drive AUV310-32G-RGD"
2019-11-24,159.00,?,USB,"USB 3.1",512,0.311,Adata,CPL,"ADATA 512GB SD700 ASD700-512GU3-CBK Rugged External SSD USB3.1 IP68 Black"
2019-11-24,175.00,?,USB,"USB 3.1",512,0.342,Adata,CPL,"ADATA 512GB SD700 ASD700-512GU3-CYL Rugged External SSD USB3.1 IP68 Black&Yellow"
2019-11-07,239.00,?,USB,"USB 3.0",5000,0.048,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
2020-02-09,243.00,?,USB,"USB 3.0",5000,0.049,Adata,CPL,"ADATA 5TB HD710 PRO USB3.0 Portable External Hard Drive AHD710P-5TU31-CBK"
